lex1;lex_utf81
<JR/;עיר֜
XNWK=/;חנוך֜
<JRD/;עירד֜
MXWJ>L/;מחויאל֜
MXJJ>L/;מחייאל֜
MTWC>L/;מתושׁאל֜
LMK/;למך֜
<DH===/;עדה֜
YLH/;צלה֜
JBL=/;יבל֜
>HL/;אהל֜
MQNH/;מקנה֜
JWBL==/;יובל֜
TPF[;תפשׂ
KNWR/;כנור֜
<WGB/;עוגב֜
TWBL_QJN/;תובל קין֜
LVC[;לטשׁ
XRC=[;חרשׁ
NXCT/;נחשׁת֜
BRZL/;ברזל֜
>XWT/;אחות֜
N<MH/;נעמה֜
>ZN[;אזן
>MRH/;אמרה֜
PY</;פצע֜
JLD/;ילד֜
XBWRH/;חבורה֜
>DM===/;אדם֜
<WD/;עוד֜
CT==/;שׁת֜
>XR=/;אחר֜
>NWC==/;אנושׁ֜
>Z;אז
XLL[;חלל
ZH;זה
SPR/;ספר֜
CLC/;שׁלשׁ֜
M>H/;מאה֜
>XR/;אחר֜
CMNH/;שׁמנה֜
BT/;בת֜
TC</;תשׁע֜
XMC/;חמשׁ֜
<FRH/;עשׂרה֜
QJNN/;קינן֜
MHLL>L/;מהללאל֜
<FR=/;עשׂר֜
CC/;שׁשׁ֜
JRD/;ירד֜
MTWCLX/;מתושׁלח֜
NX/;נח֜
NXM[;נחם
M<FH/;מעשׂה֜
CM=/;שׁם֜
XM===/;חם֜
JPT/;יפת֜
RBB[;רבב
HNH=;הנה
BXR[;בחר
DWN[;דון
C;שׁ
<FRJM/;עשׂרים֜
NPJLJM/;נפילים֜
HMH;המה
GBWR/;גבור֜
RB/;רב֜
R<H/;רעה֜
JYR/;יצר֜
MXCBH/;מחשׁבה֜
LB/;לב֜
RQ;רק
<YB[;עצב
MXH[;מחה
XN/;חן֜
YDJQ/;צדיק֜
TMJM/;תמים֜
DWR/;דור֜
CXT[;שׁחת
XMS/;חמס֜
TBH/;תבה֜
GPR/;גפר֜
QN/;קן֜
KPR[;כפר
BJT/;בית֜
XWY/;חוץ֜
KPR=/;כפר֜
>MH=/;אמה֜
>RK=/;ארך֜
RXB=/;רחב֜
QWMH/;קומה֜
YHR/;צהר֜
M<L/;מעל֜
YD/;צד֜
TXTJ/;תחתי֜
>NJ;אני
MBWL/;מבול֜
GW<[;גוע
BRJT/;ברית֜
>SP[;אסף
VHR/;טהר֜
JQWM/;יקום֜
XDC=/;חדשׁ֜
<FR/;עשׂר֜
BQ<[;בקע
M<JN/;מעין֜
>RBH=/;ארבה֜
PTX[;פתח
GCM/;גשׁם֜
YPWR/;צפור֜
B<D/;בעד֜
RWM[;רום
GBR[;גבר
KSH[;כסה
HR/;הר֜
GBH/;גבה֜
XRBH/;חרבה֜
C>R[;שׁאר
>K;אך
ZKR[;זכר
<BR[;עבר
CKK[;שׁכך
SKR[;סכר
KL>[;כלא
XSR[;חסר
QYH=/;קצה֜
>RRV/;אררט֜
<FJRJ/;עשׂירי֜
XLWN/;חלון֜
<RB===/;ערב֜
JBC[;יבשׁ
JWNH/;יונה֜
QLL[;קלל
MNWX/;מנוח֜
KP/;כף֜
RGL/;רגל֜
XJL==[;חיל
<T/;עת֜
ZJT/;זית֜
VRP=/;טרף֜
JXL[;יחל
R>CWN/;ראשׁון֜
XRB[;חרב
SWR[;סור
MKSH/;מכסה֜
DBR[;דבר
MCPXH/;משׁפחה֜
MZBX/;מזבח֜
<LH/;עלה֜
RWX[;רוח
RJX/;ריח֜
NJXX/;ניחח֜
N<WRJM/;נעורים֜
QYJR/;קציר֜
QR/;קר֜
XM/;חם֜
QJY/;קיץ֜
XRP/;חרף֜
MWR>/;מורא֜
XT/;חת֜
DG/;דג֜
DRC[;דרשׁ
CPK[;שׁפך
>TM;אתם
KRT[;כרת
QCT/;קשׁת֜
<NN/;ענן֜
