lex1;lex_utf81
RMH=[;רמה
CBW</;שׁבוע֜
<BDH/;עבדה֜
BLHH=/;בלהה֜
R>WBN/;ראובן֜
CM<WN/;שׁמעון֜
LWH[;לוה
LWJ=/;לוי֜
JDH[;ידה
JHWDH/;יהודה֜
MN<[;מנע
BRK/;ברך֜
NPTWLJM/;נפתולים֜
PTL[;פתל
NPTLJ/;נפתלי֜
GD=/;גד֜
GD==/;גד֜
>CR===/;אשׁר֜
>CR=[;אשׁר
>CR==/;אשׁר֜
XVH/;חטה֜
DWDJ=/;דודי֜
FKR[;שׂכר
JFFKR/;ישׂשׂכר֜
ZBD[;זבד
ZBD/;זבד֜
ZBL[;זבל
ZBWLN/;זבולן֜
DJNH/;דינה֜
XRPH/;חרפה֜
JWSP/;יוסף֜
NXC[;נחשׁ
NQB[;נקב
MTJ;מתי
NQD=/;נקד֜
VL>[;טלא
XWM/;חום֜
KFB/;כשׂב֜
MXR/;מחר֜
GNB[;גנב
TJC/;תישׁ֜
<QD/;עקד֜
LBN/;לבן֜
JTR[;יתר
MQL/;מקל֜
LBNH==/;לבנה֜
LX=/;לח֜
LWZ/;לוז֜
<RMWN/;ערמון֜
PYL[;פצל
PYLH/;פצלה֜
MXFP/;מחשׂף֜
JYG[;יצג
RHV/;רהט֜
JXM[;יחם
QCR[;קשׁר
<VP=[;עטף
<VWP/;עטוף֜
KBWD/;כבוד֜
TMWL/;תמול֜
CLCWM/;שׁלשׁום֜
>TNH;אתנה
TLL[;תלל
XLP[;חלף
MNH==/;מנה֜
NYL[;נצל
<TWD/;עתוד֜
BRD=/;ברד֜
MCX[;משׁח
NXLH/;נחלה֜
NKRJ/;נכרי֜
<CR/;עשׁר֜
NHG[;נהג
QNJN/;קנין֜
GZZ[;גזז
TRPJM/;תרפים֜
BLJ/;בלי֜
GL<D/;גלעד֜
NFG[;נשׂג
TQ<[;תקע
FMXH/;שׂמחה֜
CJR/;שׁיר֜
TP/;תף֜
NVC[;נטשׁ
SKL[;סכל
>L==/;אל֜
KSP[;כסף
KR===/;כר֜
XPF[;חפשׂ
PC</;פשׁע֜
DLQ[;דלק
RXL/;רחל֜
VRJPH/;טריפה֜
BQC[;בקשׁ
XRB=/;חרב֜
QRX/;קרח֜
NDD[;נדד
LWL>;לולא
PXD/;פחד֜
RJQM;ריקם
JGJ</;יגיע֜
<D=/;עד֜
LQV[;לקט
GL/;גל֜
JGR/;יגר֜
FHDW/;שׂהדו֜
GL<D=/;גלעד֜
MYPH=/;מצפה֜
YPH[;צפה
JRH=[;ירה
ZBX[;זבח
ZBX/;זבח֜
MXNH/;מחנה֜
MXNJM/;מחנים֜
CWR/;שׁור֜
YRR[;צרר
XYH[;חצה
PLJVH/;פליטה֜
QVN[;קטן
PRH/;פרה֜
PR/;פר֜
<JR=/;עיר֜
RWX=/;רוח֜
PGC[;פגשׁ
M<BR/;מעבר֜
JBQ/;יבק֜
>BQ[;אבק
JQ<[;יקע
JFR>L/;ישׂראל֜
FRH[;שׂרה
PNJ>L/;פניאל֜
ZRX[;זרח
PNW>L/;פנואל֜
YL<[;צלע
GJD/;גיד֜
NCH/;נשׁה֜
>XRWN/;אחרון֜
XNN[;חנן
RYH[;רצה
<WL[;עול
DPQ[;דפק
NHL[;נהל
>V/;אט֜
ML>KH/;מלאכה֜
SKWT/;סכות֜
SKH/;סכה֜
XLQH/;חלקה֜
XMWR=/;חמור֜
QFJVH/;קשׂיטה֜
CKM==/;שׁכם֜
JLDH/;ילדה֜
VM>[;טמא
NBLH/;נבלה֜
XCQ[;חשׁק
XTN[;חתן
MHR/;מהר֜
MTN/;מתן֜
>WT[;אות
XPY[;חפץ
RXB/;רחב֜
K>B[;כאב
BVX/;בטח֜
XLL/;חלל֜
BZZ[;בזז
XJL/;חיל֜
VP/;טף֜
<KR[;עכר
B>C[;באשׁ
MT/;מת֜
MSPR/;מספר֜
CMD[;שׁמד
ZNH[;זנה
VHR[;טהר
YRH/;צרה֜
VMN[;טמן
>LH/;אלה֜
XTH/;חתה֜
DBWRH=/;דבורה֜
>LWN=/;אלון֜
BKWT/;בכות֜
XLY/;חלץ֜
MYBT/;מצבת֜
NSK[;נסך
NSK/;נסך֜
KBRH=/;כברה֜
>PRT/;אפרת֜
QCH[;קשׁה
BN_>WNJ/;בן אוני֜
BNJMN/;בנימן֜
BJT_LXM/;בית לחם֜
QBWRH/;קבורה֜
MGDL_<DR/;מגדל עדר֜
>HLJBMH/;אהליבמה֜
<NH=/;ענה֜
YB<WN/;צבעון֜
>LJPZ/;אליפז֜
R<W>L/;רעואל֜
J<WC/;יעושׁ֜
J<LM/;יעלם֜
QRX==/;קרח֜
TJMN=/;תימן֜
>WMR/;אומר֜
YPW/;צפו֜
G<TM/;געתם֜
QNZ/;קנז֜
TMN</;תמנע֜
<MLQ/;עמלק֜
NXT===/;נחת֜
ZRX=/;זרח֜
CMH=/;שׁמה֜
MZH=/;מזה֜
>LWP/;אלוף֜
LWVN/;לוטן֜
CWBL/;שׁובל֜
DJCWN=/;דישׁון֜
>YR/;אצר֜
DJCN/;דישׁן֜
XRJ===/;חרי֜
HJMM/;הימם֜
<LWN/;עלון֜
MNXT/;מנחת֜
<JBL=/;עיבל֜
CPW/;שׁפו֜
>WNM/;אונם֜
>JH=/;איה֜
JMM/;ימם֜
XMDN/;חמדן֜
>CBN/;אשׁבן֜
JTRN/;יתרן֜
KRN/;כרן֜
BLHN/;בלהן֜
Z<WN/;זעון֜
<QN/;עקן֜
>RN=/;ארן֜
MLK[;מלך
BL<==/;בלע֜
B<WR/;בעור֜
DNHBH/;דנהבה֜
JWBB=/;יובב֜
BYRH=/;בצרה֜
XCM/;חשׁם֜
TJMNJ/;תימני֜
HDD/;הדד֜
BDD=/;בדד֜
<WJT/;עוית֜
FMLH=/;שׂמלה֜
MFRQH/;משׂרקה֜
C>WL=/;שׁאול֜
B<L_XNN/;בעל חנן֜
<KBWR/;עכבור֜
HDR==/;הדר֜
P<W/;פעו֜
MHJVB>L/;מהיטבאל֜
MVRD/;מטרד֜
MJ_ZHB/;מי זהב֜
<LWH=/;עלוה֜
JTT/;יתת֜
>LH===/;אלה֜
PJNN/;פינן֜
MBYR=/;מבצר֜
MGDJ>L/;מגדיאל֜
<JRM=/;עירם֜
DBH/;דבה֜
PS/;פס֜
>LM[;אלם
>LMH/;אלמה֜
JRX=/;ירח֜
G<R[;גער
>JPH;איפה
DTN/;דתן֜
NKL[;נכל
BWR/;בור֜
PCV[;פשׁט
RJQ=/;ריק֜
>RXH/;ארחה֜
JCM<>LJ/;ישׁמעאלי֜
NK>T/;נכאת֜
YRJ/;צרי֜
LV=/;לט֜
BY</;בצע֜
MDJNJ/;מדיני֜
MCK[;משׁך
QR<[;קרע
F<JR/;שׂעיר֜
VBL[;טבל
VRP[;טרף
FQ/;שׂק֜
MTNJM/;מתנים֜
>BL[;אבל
M>N[;מאן
>BL===/;אבל֜
C>WL/;שׁאול֜
MDNJ/;מדני֜
PWVJPR/;פוטיפר֜
SRJS/;סריס֜
VBX=/;טבח֜
<DLMJ/;עדלמי֜
XJRH/;חירה֜
CW<===/;שׁוע֜
<R=/;ער֜
>WNN/;אונן֜
CLH=/;שׁלה֜
KZJB/;כזיב֜
TMR===/;תמר֜
JBM[;יבם
>LMNH/;אלמנה֜
TMNH/;תמנה֜
XM=/;חם֜
>LMNWT/;אלמנות֜
<LP[;עלף
<JNJM/;עינים֜
<RBWN/;ערבון֜
XWTM/;חותם֜
PTJL/;פתיל֜
MVH/;מטה֜
QDC=/;קדשׁ֜
BWZ/;בוז֜
ZNWNJM/;זנונים֜
XTMT/;חתמת֜
YDQ[;צדק
CNJ=/;שׁני֜
PRY/;פרץ֜
PRY=/;פרץ֜
CRT[;שׁרת
>YL/;אצל֜
SHR/;סהר֜
>SJR/;אסיר֜
>SR[;אסר
>PH/;אפה֜
QYP[;קצף
MCMR/;משׁמר֜
PTRWN/;פתרון֜
Z<P[;זעף
PTR[;פתר
GPN/;גפן֜
FRJG/;שׂריג֜
PRX[;פרח
NY=/;נץ֜
BCL[;בשׁל
>CKWL/;אשׁכול֜
<NB/;ענב֜
KWS/;כוס֜
FXV[;שׂחט
KN=/;כן֜
SL/;סל֜
XRJ==/;חרי֜
TLH[;תלה
J>R=/;יאר֜
BRJ>/;בריא֜
>XW/;אחו֜
DQ/;דק֜
CBLT/;שׁבלת֜
QNH/;קנה֜
CDP[;שׁדף
QDJM/;קדים֜
BL<[;בלע
P<M[;פעם
XRVM/;חרטם֜
XKM/;חכם֜
XV>/;חטא֜
GLX[;גלח
DL/;דל֜
RQ=/;רק֜
R<===/;רע֜
YNM/;צנם֜
FB<==/;שׂבע֜
CNH[;שׁנה
KWN[;כון
BJN[;בין
PQJD/;פקיד֜
XMC[;חמשׁ
QBY[;קבץ
YBR[;צבר
BR/;בר֜
PQDWN/;פקדון֜
KS>/;כסא֜
VB<T/;טבעת֜
CC=/;שׁשׁ֜
RBJD/;רביד֜
MRKBT/;מרכבת֜
MCNH/;משׁנה֜
>BRK;אברך
YPNT_P<NX/;צפנת פענח֜
>SNT/;אסנת֜
PWVJ_PR</;פוטי פרע֜
>N/;אן֜
QMY/;קמץ֜
MNCH/;מנשׁה֜
NCH[;נשׁה
<ML/;עמל֜
>PRJM/;אפרים֜
R<B[;רעב
CBR=[;שׁבר
CBR=/;שׁבר֜
>SWN/;אסון֜
CLJV/;שׁליט֜
QCH/;קשׁה֜
RGL[;רגל
NXNW;נחנו
KN/;כן֜
BXN[;בחן
R<BWN/;רעבון֜
>CM=/;אשׁם֜
LJY[;ליץ
YJDH/;צידה֜
MLWN/;מלון֜
>MTXT/;אמתחת֜
YRWR/;צרור֜
JGWN/;יגון֜
<WD[;עוד
<RB[;ערב
ZMRH=/;זמרה֜
DBC/;דבשׁ֜
BVNH/;בטנה֜
CQD/;שׁקד֜
MCGH/;משׁגה֜
RXMJM/;רחמים֜
VBX[;טבח
VBX/;טבח֜
YHRJM/;צהרים֜
BJ;בי
MVMN/;מטמן֜
KMR[;כמר
XDR/;חדר֜
>PQ[;אפק
TW<BH/;תועבה֜
Y<JRH/;צעירה֜
TMH[;תמה
MF>T/;משׂאת֜
GBJ</;גביע֜
CLM[;שׁלם
VWBH/;טובה֜
<MS[;עמס
BKJ/;בכי֜
BHL[;בהל
MXJH/;מחיה֜
XRJC/;חרישׁ֜
C>RJT/;שׁארית֜
GCN/;גשׁן֜
KWL[;כול
V<N[;טען
B<JR/;בעיר֜
<GLH=/;עגלה֜
XWS[;חוס
XLJPH/;חליפה֜
MZWN/;מזון֜
RGZ[;רגז
PWG[;פוג
MR>H=/;מראה֜
PLW>/;פלוא֜
XYRWN/;חצרון֜
KRMJ=/;כרמי֜
JMW>L/;ימואל֜
JMJN=/;ימין֜
>HD/;אהד֜
JKJN/;יכין֜
GRCWN/;גרשׁון֜
QHT/;קהת֜
MRRJ=/;מררי֜
XMWL/;חמול֜
TWL<=/;תולע֜
PWH/;פוה֜
JWB/;יוב֜
CMRWN==/;שׁמרון֜
SRD/;סרד֜
>LWN==/;אלון֜
JXL>L/;יחלאל֜
YPJWN/;צפיון֜
XGJ==/;חגי֜
CWNJ=/;שׁוני֜
>YBWN/;אצבון֜
<RJ=/;ערי֜
>RWDJ==/;ארודי֜
>R>LJ=/;אראלי֜
JMNH/;ימנה֜
JCWH/;ישׁוה֜
JCWJ=/;ישׁוי֜
BRJ<H/;בריעה֜
FRX/;שׂרח֜
XBR===/;חבר֜
MLKJ>L/;מלכיאל֜
BKR==/;בכר֜
>CBL/;אשׁבל֜
GR>/;גרא֜
N<MN/;נעמן֜
>XJ/;אחי֜
R>C==/;ראשׁ֜
MPJM/;מפים֜
XPJM/;חפים֜
>RD/;ארד֜
XWCJM=/;חושׁים֜
JXY>L/;יחצאל֜
GWNJ=/;גוני֜
JYR=/;יצר֜
CLM====/;שׁלם֜
JRH[;ירה
MR<H/;מרעה֜
MJVB/;מיטב֜
R<MSS/;רעמסס֜
JLH[;ילה
TMM[;תמם
>PS[;אפס
SWS/;סוס֜
KXD[;כחד
GWJH/;גויה֜
JCM[;ישׁם
XQ/;חק֜
H>;הא
TBW>H/;תבואה֜
XMJCJT/;חמישׁית֜
XMC==/;חמשׁ֜
MVH=/;מטה֜
XLH[;חלה
ZQN==/;זקן֜
PLL=[;פלל
FKL=[;שׂכל
G>L[;גאל
DGH[;דגה
TMK[;תמך
ML>=/;מלא֜
>XRJT/;אחרית֜
>WN/;און֜
JTR/;יתר֜
<Z====/;עז֜
PXZ/;פחז֜
MCKB/;משׁכב֜
JYW</;יצוע֜
MKRH/;מכרה֜
SWD/;סוד֜
JXD[;יחד
RYWN/;רצון֜
<QR[;עקר
<Z===/;עז֜
<BRH=/;עברה֜
<RP/;ערף֜
GWR/;גור֜
>RJH/;אריה֜
VRP/;טרף֜
KR<[;כרע
LBJ>/;לביא֜
CBV/;שׁבט֜
XQQ[;חקק
CLW=/;שׁלו֜
JQHH/;יקהה֜
<JR==/;עיר֜
FRQH/;שׂרקה֜
KBS[;כבס
LBWC/;לבושׁ֜
SWT/;סות֜
XKLJLJ/;חכלילי֜
CN/;שׁן֜
XWP/;חוף֜
>NJH/;אניה֜
JRKH/;ירכה֜
GRM/;גרם֜
MCPTJM/;משׁפתים֜
MNWXH/;מנוחה֜
N<M[;נעם
SBL[;סבל
MS/;מס֜
CPJPN/;שׁפיפן֜
NCK[;נשׁך
>XWR/;אחור֜
JCW<H/;ישׁועה֜
QWH[;קוה
GDWD/;גדוד֜
GWD[;גוד
CMN=/;שׁמן֜
M<DN/;מעדן֜
>JLH/;אילה֜
>MR==/;אמר֜
CPR/;שׁפר֜
PRT=/;פרת֜
Y<D[;צעד
CWR=/;שׁור֜
MRR[;מרר
RBB=[;רבב
XY/;חץ֜
>JTN/;איתן֜
PZZ[;פזז
ZRW</;זרוע֜
>BJR=/;אביר֜
<ZR[;עזר
CD=/;שׁד֜
GB<H/;גבעה֜
QDQD/;קדקד֜
NZJR/;נזיר֜
Z>B/;זאב֜
<D==/;עד֜
CLL/;שׁלל֜
XNV[;חנט
XNVJM/;חנטים֜
BKJT/;בכית֜
RKB/;רכב֜
PRC/;פרשׁ֜
GRN/;גרן֜
>VD/;אטד֜
<BR/;עבר֜
MSPD/;מספד֜
>BL_MYRJM/;אבל מצרים֜
>N>;אנא
CLCJM/;שׁלשׁים֜
MKJR/;מכיר֜
JFM[;ישׂם
>RWN/;ארון֜
XDC/;חדשׁ֜
XKM[;חכם
LXM[;לחם
SBLWT/;סבלות֜
MSKNWT/;מסכנות֜
PTM/;פתם֜
PRK/;פרך֜
CPRH=/;שׁפרה֜
PW<H/;פועה֜
>BN=/;אבן֜
XJH=/;חיה֜
JLWD/;ילוד֜
YPN[;צפן
JRX/;ירח֜
TBH=/;תבה֜
GM>/;גמא֜
XMR[;חמר
ZPT/;זפת֜
SWP/;סוף֜
JYB[;יצב
XML[;חמל
MCH=/;משׁה֜
MCH[;משׁה
NYH[;נצה
DLH[;דלה
JC<[;ישׁע
YPRH/;צפרה֜
GRCM/;גרשׁם֜
>NX[;אנח
Z<Q[;זעק
CW<H/;שׁועה֜
N>QH/;נאקה֜
JTRW/;יתרו֜
XRB===/;חרב֜
LBH/;לבה֜
SNH/;סנה֜
B<R[;בער
NCL[;נשׁל
QDC/;קדשׁ֜
NGF[;נגשׂ
MK>WB/;מכאוב֜
ZWB[;זוב
LXY/;לחץ֜
LXY[;לחץ
ZKR/;זכר֜
XZQ/;חזק֜
CKN/;שׁכן֜
ZNB/;זנב֜
YR<[;צרע
CLG/;שׁלג֜
JBCT/;יבשׁת֜
>LM/;אלם֜
XRC=/;חרשׁ֜
PQX/;פקח֜
<WR/;עור֜
>HRN/;אהרן֜
LWJ/;לוי֜
FMX[;שׂמח
JTR==/;יתר֜
MWPT/;מופת֜
YR==/;צר֜
RPH[;רפה
MWLH/;מולה֜
XGG[;חגג
DBR=/;דבר֜
PR<[;פרע
CVR[;שׁטר
QCC[;קשׁשׁ
MTKNT/;מתכנת֜
GR<[;גרע
CQR/;שׁקר֜
QC/;קשׁ֜
TKN/;תכן֜
CPV/;שׁפט֜
MWRCH/;מורשׁה֜
QYR/;קצר֜
LBNJ=/;לבני֜
CM<J=/;שׁמעי֜
<MRM/;עמרם֜
JYHR=/;יצהר֜
XBRWN/;חברון֜
<ZJ>L/;עזיאל֜
MXLJ=/;מחלי֜
MWCJ=/;מושׁי֜
JWKBD/;יוכבד֜
DWDH/;דודה֜
NPG/;נפג֜
ZKRJ/;זכרי֜
MJC>L/;מישׁאל֜
>LYPN/;אלצפן֜
STRJ/;סתרי֜
>LJCB</;אלישׁבע֜
<MJNDB/;עמינדב֜
NXCWN/;נחשׁון֜
NDB/;נדב֜
>BJHW>/;אביהוא֜
>L<ZR/;אלעזר֜
>JTMR/;איתמר֜
>SJR==/;אסיר֜
>LQNH/;אלקנה֜
>BJ>SP/;אביאסף֜
QRXJ/;קרחי֜
PWVJ>L/;פוטיאל֜
PJNXS/;פינחס֜
KCP[;כשׁף
LHVJM/;להטים֜
J>R/;יאר֜
>GM/;אגם֜
LV/;לט֜
NGP[;נגף
YPRD</;צפרדע֜
MC>RT/;משׁארת֜
P>R[;פאר
XMR=/;חמר֜
RWXH/;רוחה֜
KN==/;כן֜
KNM/;כנם֜
>YB</;אצבע֜
<RB=/;ערב֜
PLH[;פלה
PDWT/;פדות֜
SQL[;סקל
XPN/;חפן֜
PJX/;פיח֜
ZRQ[;זרק
>BQ/;אבק֜
CXJN/;שׁחין֜
>B<B<T/;אבעבעת֜
MGPH/;מגפה֜
SLL[;סלל
BRD/;ברד֜
JSD[;יסד
<WZ[;עוז
PRF[;פרשׂ
PCTH/;פשׁתה֜
F<RH/;שׂערה֜
>BJB/;אביב֜
GB<L/;גבעל֜
KSMT/;כסמת֜
>PJL/;אפיל֜
MVR/;מטר֜
NTK[;נתך
<LL[;עלל
>RBH/;ארבה֜
MWQC/;מוקשׁ֜
>BD[;אבד
XG/;חג֜
GBR/;גבר֜
XCK[;חשׁך
>PLH/;אפלה֜
PRSH/;פרסה֜
R<WT/;רעות֜
XYWT/;חצות֜
RXJM/;רחים֜
XRY[;חרץ
KLB/;כלב֜
XRJ=/;חרי֜
<DH/;עדה֜
M<V[;מעט
MKSH==/;מכסה֜
KSS[;כסס
KBF/;כבשׂ֜
MZWZH/;מזוזה֜
MCQWP/;משׁקוף֜
YLJ/;צלי֜
MRR/;מרר֜
N>/;נא֜
BCL/;בשׁל֜
KR<JM/;כרעים֜
KKH;ככה
XGR[;חגר
XPZWN/;חפזון֜
PSX/;פסח֜
PSX[;פסח
NGP/;נגף֜
MCXJT/;משׁחית֜
ZKRWN/;זכרון֜
F>R/;שׂאר֜
XMY/;חמץ֜
MQR>/;מקרא֜
XMY[;חמץ
>ZRX/;אזרח֜
>GDH/;אגדה֜
>ZWB/;אזוב֜
SP/;סף֜
XYJ/;חצי֜
CBJ/;שׁבי֜
BYQ/;בצק֜
RGLJ/;רגלי֜
<RB====/;ערב֜
LJL/;ליל֜
CMRJM/;שׁמרים֜
FKJR/;שׂכיר֜
PVR/;פטר֜
XZQ=/;חזק֜
CGR/;שׁגר֜
PDH[;פדה
<RP=[;ערף
VWVPT/;טוטפת֜
>TM/;אתם֜
JWMM;יומם
<MWD/;עמוד֜
MWC[;מושׁ
PJ_HXJRWT/;פי החירות֜
MGDL=/;מגדל֜
B<L_YPN/;בעל צפן֜
BWK[;בוך
CLJC=/;שׁלישׁ֜
XWMH/;חומה֜
>CMRT/;אשׁמרת֜
HMM[;המם
>WPN/;אופן֜
MRKBH/;מרכבה֜
KBDT/;כבדת֜
N<R[;נער
CJR[;שׁיר
CJRH/;שׁירה֜
G>H[;גאה
RMH[;רמה
<Z=/;עז֜
JH/;יה֜
NWH[;נוה
VB<[;טבע
MYWLH/;מצולה֜
>DR[;אדר
R<Y[;רעץ
G>WN/;גאון֜
HRS[;הרס
XRWN/;חרון֜
<RM[;ערם
ND/;נד֜
NZL[;נזל
QP>[;קפא
NCP[;נשׁף
YLL[;צלל
<PRT/;עפרת֜
>DJR/;אדיר֜
THLH/;תהלה֜
PL>/;פלא֜
ZW;זו
<Z/;עז֜
NWH/;נוה֜
XJL=/;חיל֜
PLCT/;פלשׁת֜
R<D/;רעד֜
MWG[;מוג
DMM[;דמם
MKWN/;מכון֜
P<L[;פעל
MQDC/;מקדשׁ֜
<D/;עד֜
MRJM/;מרים֜
NBJ>H/;נביאה֜
MXLH=/;מחלה֜
<NH==[;ענה
MRH=/;מרה֜
LWN[;לון
MTQ[;מתק
JCR/;ישׁר֜
MXLH/;מחלה֜
>JLM=/;אילם֜
TMR/;תמר֜
SJN/;סין֜
SJNJ=/;סיני֜
SJR/;סיר֜
FB</;שׂבע֜
TLNWT/;תלנות֜
FB<[;שׂבע
FLW/;שׂלו֜
CKBH/;שׁכבה֜
XSPS[;חספס
KPWR/;כפור֜
MN=;מן
<MR/;עמר֜
GLGLT/;גלגלת֜
MDD[;מדד
<DP[;עדף
RMM[;רמם
TWL</;תולע֜
MSS[;מסס
CBTWN/;שׁבתון֜
CBT/;שׁבת֜
RMH/;רמה֜
MN/;מן֜
GD/;גד֜
V<M/;טעם֜
YPJXT/;צפיחת֜
YNYNT/;צנצנת֜
<DWT/;עדות֜
>JPH/;איפה֜
RPJDJM/;רפידים֜
YM>[;צמא
YM>=/;צמא֜
YWR/;צור֜
MSH===/;מסה֜
MRJBH=/;מריבה֜
JHWC</;יהושׁע֜
XWR=/;חור֜
>MWNH/;אמונה֜
XLC[;חלשׁ
KTB[;כתב
NS/;נס֜
CLWXJM/;שׁלוחים֜
TL>H/;תלאה֜
XDH[;חדה
NBL[;נבל
J<Y[;יעץ
MWL/;מול֜
ZHR[;זהר
XZH[;חזה
NCR/;נשׁר֜
SGLH/;סגלה֜
QDWC/;קדושׁ֜
<B/;עב֜
GBL[;גבל
JWBL/;יובל֜
BRQ/;ברק֜
CWPR/;שׁופר֜
<CN[;עשׁן
XZQ==/;חזק֜
PSL/;פסל֜
TMWNH/;תמונה֜
QN>/;קנא֜
RB</;רבע֜
CW>/;שׁוא֜
RYX[;רצח
N>P[;נאף
<CN=/;עשׁן֜
<RPL/;ערפל֜
CLM/;שׁלם֜
GZJT/;גזית֜
NWP[;נוף
M<LH=/;מעלה֜
XPCJ/;חפשׁי֜
GP/;גף֜
RY<[;רצע
MRY</;מרצע֜
J<D[;יעד
BGD[;בגד
C>R/;שׁאר֜
<NH/;ענה֜
YDH[;צדה
>NH[;אנה
<RMH/;ערמה֜
>GRP/;אגרף֜
MC<NT/;משׁענת֜
CBT=/;שׁבת֜
<NC[;ענשׁ
PLJL/;פליל֜
KWJH/;כויה֜
NGX[;נגח
NGX/;נגח֜
KPR/;כפר֜
PDJWN/;פדיון֜
MXTRT/;מחתרת֜
GNB/;גנב֜
GNBH/;גנבה֜
GDJC/;גדישׁ֜
QMH/;קמה֜
B<RH/;בערה֜
FLMH/;שׂלמה֜
>BDH/;אבדה֜
RC<[;רשׁע
PTH[;פתה
>RF[;ארשׂ
MHR=[;מהר
XRM[;חרם
JNH[;ינה
JTWM/;יתום֜
LWH=[;לוה
<NJ/;עני֜
NC>[;נשׁא
NCK/;נשׁך֜
XBL[;חבל
XNWN/;חנון֜
ML>H/;מלאה֜
DM</;דמע֜
CMJNJ/;שׁמיני֜
HDR[;הדר
MF>/;משׂא֜
>BJWN/;אביון֜
CXD/;שׁחד֜
<WR=[;עור
SLP[;סלף
CMV[;שׁמט
NPC[;נפשׁ
BKWRJM/;בכורים֜
>SJP/;אסיף֜
ZKWR/;זכור֜
MRH[;מרה
YRR=[;צרר
YR<H/;צרעה֜
CMMH/;שׁממה֜
NXL[;נחל
>GN/;אגן֜
SPJR/;ספיר֜
VHR=/;טהר֜
>YJL=/;אציל֜
LWX/;לוח֜
TRWMH/;תרומה֜
NDB[;נדב
TKLT/;תכלת֜
>RGMN/;ארגמן֜
TWL<T/;תולעת֜
>DM[;אדם
TXC/;תחשׁ֜
CVH/;שׁטה֜
BFM/;בשׂם֜
MCXH/;משׁחה֜
QVRT/;קטרת֜
SM/;סם֜
ML>JM/;מלאים֜
>PD/;אפד֜
XCN/;חשׁן֜
TBNJT/;תבנית֜
MCKN/;משׁכן֜
YPH=[;צפה
ZR=/;זר֜
KPRT/;כפרת֜
MQCH/;מקשׁה֜
QYH/;קצה֜
SKK[;סכך
CLXN/;שׁלחן֜
MSGRT/;מסגרת֜
VPX=/;טפח֜
P>H/;פאה֜
<MH/;עמה֜
Q<RH/;קערה֜
QFWH/;קשׂוה֜
MNQJT/;מנקית֜
TMJD/;תמיד֜
MNWRH/;מנורה֜
KPTWR/;כפתור֜
PRX/;פרח֜
MCQD/;משׁקד֜
NR/;נר֜
MLQXJM/;מלקחים֜
MXTH/;מחתה֜
JRJ<H/;יריעה֜
CZR[;שׁזר
MDH/;מדה֜
LL>T/;ללאת֜
XBRT/;חברת֜
QJYWN/;קיצון֜
MXBRT/;מחברת֜
QBL[;קבל
QRS/;קרס֜
<CTJ/;עשׁתי֜
KPL[;כפל
SRX/;סרח֜
SRX[;סרח
SRWX/;סרוח֜
QRC/;קרשׁ֜
CLB[;שׁלב
TJMN/;תימן֜
>DN/;אדן֜
QY<[;קצע
MVH==/;מטה֜
MQYW</;מקצוע֜
BRJX/;בריח֜
TJKWN/;תיכון֜
PRKT/;פרכת֜
WW/;וו֜
MSK/;מסך֜
RQM[;רקם
RB<[;רבע
PNH=/;פנה֜
DCN[;דשׁן
J<H/;יעה֜
MZRQ/;מזרק֜
MZLG/;מזלג֜
MKBR/;מכבר֜
RCT/;רשׁת֜
KRKB/;כרכב֜
NBB[;נבב
QL</;קלע֜
XCWQ/;חשׁוק֜
MZRX/;מזרח֜
KTP/;כתף֜
JTD/;יתד֜
ZK/;זך֜
KTJT/;כתית֜
KHN[;כהן
TP>RT/;תפארת֜
XKMH/;חכמה֜
M<JL/;מעיל֜
TCBY/;תשׁבץ֜
MYNPT/;מצנפת֜
>BNV/;אבנט֜
XCB/;חשׁב֜
>PDH/;אפדה֜
PTX=[;פתח
XRC/;חרשׁ֜
PTWX/;פתוח֜
MCBYWT/;משׁבצות֜
CRCRH/;שׁרשׁרה֜
MGBLT/;מגבלת֜
<BT/;עבת֜
ZRT/;זרת֜
ML>H=/;מלאה֜
VWR/;טור֜
>DM==/;אדם֜
PVDH/;פטדה֜
BRQT/;ברקת֜
NPK/;נפך֜
JHLM/;יהלם֜
LCM/;לשׁם֜
CBW/;שׁבו֜
>XLMH/;אחלמה֜
TRCJC/;תרשׁישׁ֜
JCPH/;ישׁפה֜
CBY[;שׁבץ
GBLT/;גבלת֜
RKS[;רכס
ZXX[;זחח
>WR==/;אור֜
TMJM=/;תמים֜
KLJL/;כליל֜
>RG[;ארג
TXR>/;תחרא֜
CWL/;שׁול֜
RMWN/;רמון֜
P<MWN/;פעמון֜
YJY/;ציץ֜
MYX/;מצח֜
MGB<H/;מגבעה֜
MKNS/;מכנס֜
XLH/;חלה֜
RQJQ/;רקיק֜
>PD[;אפד
NZR/;נזר֜
KHNH/;כהנה֜
JSWD/;יסוד֜
JTRT/;יתרת֜
KBD=/;כבד֜
KLJH/;כליה֜
QVR[;קטר
PRC=/;פרשׁ֜
NTX[;נתח
NTX/;נתח֜
>CH=/;אשׁה֜
TNWK/;תנוך֜
JMNJ/;ימני֜
BHN/;בהן֜
NZH[;נזה
>LJH/;אליה֜
CWQ/;שׁוק֜
TNWPH/;תנופה֜
XZH/;חזה֜
MNH/;מנה֜
MCXH=/;משׁחה֜
ZR/;זר֜
KPRJM/;כפרים֜
<FRWN/;עשׂרון֜
RB<=/;רבע֜
HJN/;הין֜
